accx,accy,accz
0.0602,0.9266,-0.0734
0.0585,0.9592,-0.0751
0.0593,0.9878,-0.0744
0.0583,0.9888,-0.0753
0.0326,0.9538,-0.0741
0.0008,0.9262,-0.0502
-0.0582,0.9266,-0.0506
-0.0895,0.9876,-0.0502
-0.0897,1.0351,-0.0504
-0.0145,1.1724,-0.11
0.048,1.2396,-0.1079
0.0495,1.2406,-0.0832
0.0492,1.3628,0.0482
0.1128,1.3867,0.0492
0.1477,1.3508,0.0499
0.1198,1.1964,-0.1526
-0.023,1.0351,-0.3453
-0.2092,0.9415,-0.4738
-0.4283,0.8411,-0.4731
-0.3499,0.8702,-0.3519
-0.2656,0.9084,-0.3145
-0.1021,1.0286,-0.2573
0.0819,1.1153,-0.1916
0.1511,1.0769,-0.1934
0.1235,0.9545,-0.2229
-0.0032,0.8262,-0.2232
-0.0902,0.7317,-0.2246
-0.1801,0.6664,-0.1592
-0.2432,0.6408,-0.0939
-0.2429,0.6767,-0.0353
-0.2077,0.7728,0.0189
-0.1468,0.8907,0.0166
-0.1161,0.9948,0.0182
-0.0545,1.0559,-0.0399
-0.0262,1.0569,-0.0409
-0.0274,0.9531,-0.0397
0.0003,0.9215,0.0218
0.0003,0.9215,0.0218
-0.0274,0.9201,0.0467
-0.0636,0.9926,0.0448
-0.1226,1.1414,-0.0478
-0.1249,1.2587,-0.0749
-0.1249,1.2587,-0.0749
-0.1232,1.2592,-0.0052
-0.0965,1.2594,0.0811
-0.0975,1.2646,0.1755
-0.0184,1.1378,-0.1906
-0.0184,1.1378,-0.1906
0.0509,1.0584,-0.3915
0.0788,0.9876,-0.3903
0.1059,0.8951,-0.39
0.0304,0.9242,-0.3174
0.0304,0.9242,-0.3174
-0.0282,1.0226,-0.2376
-0.0713,1.0615,-0.2112
-0.1666,1.0924,-0.1342
-0.1642,0.942,-0.1628
-0.13,0.8783,-0.1628
-0.062,0.7624,-0.1633
0.0612,0.6584,-0.0536
0.0612,0.6584,-0.0536
0.09,0.6906,0.0059
0.0639,0.7676,0.0066
0.0629,0.7969,0.0057
0.0634,0.997,-0.066
0.0397,0.9958,-0.0905
0.0397,0.9958,-0.0905
0.0397,0.9958,-0.0905
0.0397,0.9613,-0.0905
0.0378,0.9323,0.0045
-0.0171,1.0615,-0.035
-0.0171,1.0615,-0.035
0.0136,1.2023,-0.0585
0.0495,1.3005,-0.0567
0.0194,1.3622,0.0042
-0.0054,1.4405,0.0042
-0.0054,1.4405,0.0042
0.0223,1.3437,-0.1261
-0.0189,1.2367,-0.2652
-0.1622,0.9487,-0.3048
-0.2363,0.7544,-0.4154
-0.2363,0.7544,-0.4154
-0.2365,0.7559,-0.4157
-0.1512,0.8131,-0.4159
0.0963,1.0249,-0.1247
0.1387,1.0249,-0.1247
0.1096,1.0246,-0.1245
0.0165,0.9054,-0.1511
-0.1666,0.7698,-0.1511
-0.2001,0.707,-0.1528
-0.2008,0.7053,-0.0902
-0.2018,0.7383,-0.018
-0.1645,0.7735,-0.0171
-0.1275,0.8556,-0.0169
-0.0726,0.9853,-0.0182
-0.0743,1.0388,-0.0438
-0.0743,1.0388,-0.0438
-0.0726,1.0095,-0.0446
-0.0721,0.9823,-0.0441
-0.0743,0.952,0.058
-0.0736,0.9538,0.0562
-0.0734,0.9883,0.0225
-0.0724,1.1231,-0.0623
-0.0731,1.1854,-0.0641
-0.0741,1.2516,-0.089
-0.0471,1.299,0.0159
-0.0467,1.3284,0.1134
-0.1205,1.3114,0.1132
-0.1221,1.1619,-0.1562
0.018,1.085,-0.3424
0.0578,0.9911,-0.4091
0.1223,0.887,-0.4105
0.1223,0.887,-0.4105
0.1223,0.8863,-0.4105
0.0216,0.9895,-0.329
-0.2118,1.0803,-0.1633
-0.2118,1.0803,-0.1633
-0.25,1.0794,-0.1624
-0.2267,0.9714,-0.1636
-0.012,0.7471,-0.1638
0.111,0.6867,-0.1017
0.111,0.6867,-0.1017
0.1741,0.6872,-0.0421
0.1484,0.753,-0.0434
0.09,0.8321,-0.0431
0.0253,0.9084,-0.0418
-0.0066,0.9411,-0.0724
-0.0059,0.9741,-0.0988
-0.0328,1.0004,-0.0988
-0.0331,1.0007,-0.0668
-0.0326,1.0002,-0.0023
0.0309,0.9978,-0.0001
0.0309,0.9978,-0.0001
0.0309,1.0887,-0.0001
0.0292,1.2047,-0.0656
0.0274,1.2362,-0.0648
0.0274,1.2362,-0.0648
-0.0338,1.4346,0.0548
-0.0032,1.3474,0.056
-0.0044,1.2667,-0.0089
-0.0345,1.0908,-0.2229
-0.1871,0.8717,-0.4875
-0.273,0.7838,-0.5165
-0.2732,0.8504,-0.4883
-0.1205,0.9662,-0.3145
-0.0545,1.019,-0.2214
0.016,1.0892,-0.1135
0.0702,1.0901,-0.113
0.0719,0.9457,-0.1987
0.037,0.8087,-0.2381
-0.0384,0.709,-0.2402
-0.1571,0.6762,-0.1594
-0.1913,0.6762,-0.0418
-0.2143,0.7125,-0.014
-0.2145,0.7962,0.0159
-0.1901,0.923,0.0159
-0.1283,1.0037,-0.0367
-0.0675,1.0384,-0.0721
-0.0091,1.0117,-0.0724
-0.0093,1.0132,-0.0727
-0.0105,0.9863,-0.0369
-0.0736,0.9883,0.0262
-0.1083,0.9863,0.0282
-0.1088,1.0549,-0.0001
-0.0823,1.1654,-0.0006
-0.0821,1.2091,-0.0003
-0.1121,1.2429,-0.001
-0.1125,1.2731,-0.0013
-0.1376,1.3491,0.0611
-0.1376,1.2638,0.0255
-0.1027,1.1947,-0.22
0.0069,1.1033,-0.2991
0.155,0.9601,-0.3861
0.1829,0.9117,-0.3876
0.2261,0.8697,-0.3858
0.2276,0.8981,-0.3358
0.073,0.9883,-0.2544
-0.1828,1.0901,-0.1592
-0.2429,1.063,-0.1582
-0.2421,1.0242,-0.1834
-0.1717,0.9157,-0.2085
-0.0208,0.7515,-0.1673
0.0673,0.6657,-0.0741
0.152,0.6389,-0.0008
0.1783,0.6396,-0.0003
0.1257,0.7278,0.0008
0.0607,0.9523,-0.0006
0.0607,0.9523,-0.0006
0.0334,1.0498,0.0013
0.0045,1.052,-0.058
0.0043,1.0073,-0.1298
0.0641,0.9687,-0.0345
0.093,0.9692,-0.0045
0.0932,1.0007,0.025
0.0143,1.0689,0.0218
-0.0533,1.1532,-0.0133
-0.0201,1.2073,-0.0118
-0.021,1.2513,0.0218
0.0092,1.392,0.0988
0.0341,1.4216,0.1293
0.0612,1.3723,0.1296
0.0265,1.211,-0.2193
-0.1117,1.0468,-0.4208
-0.2094,0.8467,-0.455
-0.2546,0.7053,-0.4208
-0.1535,0.7976,-0.2815
0.1066,1.1041,-0.0851
0.1066,1.1041,-0.0851
0.134,1.1426,-0.087
0.0751,0.9926,-0.2163
-0.1622,0.7901,-0.2168
-0.1622,0.7901,-0.2168
-0.192,0.7474,-0.1916
-0.2336,0.7181,-0.1587
-0.2336,0.7181,0.0296
-0.1645,0.8629,0.0626
-0.1645,0.8629,0.0626
-0.0895,0.9692,0.0618
-0.0294,1.0322,-0.0397
-0.0007,1.0324,-0.0942
-0.001,0.9655,-0.0944
-0.0003,0.9399,-0.0632
-0.0592,0.9399,0.0057
-0.1498,0.9401,0.0318
-0.1205,1.0733,0.0042
-0.087,1.1651,0.0033
-0.0589,1.2103,0.002
-0.0589,1.2103,0.002
-0.0599,1.2389,0.0035
-0.1864,1.429,0.045
-0.0399,1.3151,-0.1035
0.0436,1.2389,-0.2244
0.114,1.0549,-0.294
0.1159,0.9823,-0.2945
0.0851,0.7984,-0.3209
0.0837,0.8637,-0.3521
0.0837,0.8637,-0.3521
0.059,0.9068,-0.3523
-0.13,1.0425,-0.1885
-0.1183,1.0305,-0.1626
-0.1183,1.0305,-0.1626
-0.078,0.9626,-0.1638
-0.0193,0.8629,-0.1638
0.0348,0.7612,-0.1338
0.0923,0.7324,-0.0704
0.0923,0.7324,-0.0704
0.0919,0.7654,-0.0411
0.0915,0.7931,-0.0416
0.0678,0.9164,-0.0434
0.035,0.9655,-0.0418
0.035,0.9655,-0.0418
0.0336,0.9669,-0.069
0.035,0.9655,-0.0675
-0.0149,0.9692,-0.0455
-0.0166,1.0021,-0.0448
-0.0426,1.1378,-0.0776
-0.0426,1.1378,-0.0776
-0.0061,1.2117,-0.0778
0.0255,1.1583,-0.0483
-0.0073,1.2308,0.0052
-0.0064,1.307,0.042
-0.0073,1.3701,0.0924
0.0223,1.3691,0.0953
-0.1205,1.0762,-0.3541
-0.1915,0.8974,-0.5682
-0.1928,0.8262,-0.5962
-0.1924,0.7725,-0.5957
-0.0274,0.8483,-0.3504
0.0087,0.9956,-0.1657
0.035,1.0887,-0.0778
0.0334,1.0864,-0.077
0.0064,0.9926,-0.1643
-0.0245,0.9296,-0.2016
-0.086,0.7955,-0.2016
-0.1207,0.7256,-0.1577
-0.1479,0.7258,-0.1277
-0.1484,0.7263,-0.0981
-0.1463,0.7891,-0.0118
-0.1224,0.9538,0.0152
-0.1214,1.0095,-0.0115
-0.0955,1.0117,-0.0418
-0.0975,1.0112,-0.0809
-0.0384,0.934,-0.0555
-0.012,0.9071,0.0061
-0.0105,0.9056,0.0333
-0.0806,1.0843,0.0037
-0.0806,1.0843,0.0037
-0.0811,1.1707,-0.0704
-0.1083,1.2377,-0.0707
-0.1093,1.2387,-0.0716
-0.0753,1.2082,-0.0287
-0.0366,1.2101,0.0218
-0.0035,1.2525,0.1771
-0.1109,1.1612,0.2346
-0.0853,1.0769,-0.0675
0.004,1.0156,-0.4223
0.004,1.0156,-0.4223
0.122,0.9415,-0.6509
0.1543,0.9073,-0.5139
0.0649,0.9743,-0.2668
0.012,1.0205,-0.1804
-0.1391,1.0633,-0.0663
-0.2182,1.0249,-0.0648
-0.2187,0.9347,-0.1738
-0.1871,0.8827,-0.2148
-0.0992,0.8169,-0.2158
0.0414,0.784,-0.152
0.1161,0.7826,-0.0685
0.1425,0.8138,-0.022
0.144,0.8514,-0.0231
0.1184,0.9142,-0.0614
0.1179,0.913,-0.1049
0.0546,0.9406,-0.1035
0.0262,0.942,-0.0712
0.0262,0.9105,-0.0712
0.0272,0.8847,-0.0453
0.0282,0.9394,-0.0084
0.025,1.0021,-0.0091
-0.0019,1.0359,-0.0397
-0.0291,1.1165,-0.097
-0.0024,1.1933,-0.0973
-0.0024,1.2218,-0.0665
-0.0032,1.1952,0.0135
-0.003,1.1949,0.0827
0.0311,1.2602,0.1266
0.0593,1.2338,0.0929
0.0585,1.2015,-0.014
0.0087,1.1165,-0.316
-0.1337,1.0212,-0.3891
-0.2248,0.8717,-0.4477
-0.2588,0.7987,-0.4474
-0.1517,0.893,-0.2544
-0.0743,0.9545,-0.1818
-0.0068,1.0512,-0.0874
0.0751,1.088,-0.0858
0.1037,1.0554,-0.0842
0.0026,0.8974,-0.166
-0.0699,0.816,-0.1652
-0.1073,0.7823,-0.166
-0.1395,0.7596,-0.1115
-0.171,0.7593,-0.079
-0.172,0.8226,0.0133
-0.1725,0.9128,0.0392
-0.1044,0.9897,0.0389
-0.1058,1.0223,-0.0704
-0.0765,1.0223,-0.0707
-0.0765,1.0223,-0.0707
-0.0773,0.9907,-0.0714
-0.0513,0.955,-0.0013
-0.0804,0.9548,0.0648
-0.0883,0.9934,0.0643
-0.0601,1.0586,0.0406
-0.0597,1.0871,0.0037
-0.0589,1.1187,-0.0565
-0.0594,1.1803,-0.0546
-0.0296,1.1824,-0.0264
-0.0049,1.1795,0.099
-0.078,1.2587,0.1857
-0.1119,1.2602,0.186
-0.1422,1.1935,0.0892
-0.0823,1.0997,-0.2479
0.018,1.0102,-0.393
0.144,0.8798,-0.4992
0.2004,0.8145,-0.4985
0.0282,0.9369,-0.3013
-0.1146,1.1209,-0.0399
-0.1146,1.1209,-0.0399
-0.1479,1.1539,-0.039
-0.1161,0.9736,-0.2207
-0.1161,0.9736,-0.2207
-0.065,0.8064,-0.2209
-0.0073,0.7368,-0.1431
0.0314,0.7366,-0.0968
0.1462,0.7354,0.0191
0.1469,0.8798,0.0198
0.1469,0.8798,0.0198
0.1471,0.9238,-0.0238
0.0876,0.9919,-0.0629
0.0165,1.0183,-0.0968
0.0165,0.989,-0.0632
0.0165,0.989,-0.0632
0.0148,0.9599,-0.0648
0.0155,0.9592,-0.0084
-0.011,1.0198,-0.0082
-0.011,1.0843,-0.0082
0.0523,1.1118,-0.0394
0.0523,1.1118,-0.0394
0.0523,1.1118,-0.0394
0.0206,1.2814,0.0878
0.0963,1.3471,0.0895
0.1213,1.3466,0.09
0.0532,1.3078,-0.1408
-0.001,1.2331,-0.2325
-0.0916,1.0226,-0.3138
-0.2407,0.8087,-0.3138
-0.2407,0.8087,-0.3138
-0.2746,0.7425,-0.3136
-0.2348,0.7823,-0.3152
-0.0508,0.9582,-0.2346
0.0495,1.0787,-0.07
0.0495,1.0787,-0.07
0.0194,1.0549,-0.0707
-0.048,0.975,-0.0979
-0.1,0.8754,-0.1315
-0.13,0.8175,-0.1049
-0.1322,0.8197,-0.0045
-0.1322,0.8197,-0.0045
-0.13,0.8175,0.0336
-0.1044,0.956,0.0323
-0.1021,0.9823,0.0005
-0.1041,0.9818,-0.0316
-0.1039,0.9816,-0.0323
-0.1034,0.9548,-0.0318
-0.1029,0.9201,-0.0338
-0.1327,0.9743,0.0222
-0.1327,0.9743,0.0222
-0.1337,1.0484,0.0213
-0.0692,1.1534,-0.0646
-0.0438,1.2126,-0.0986
-0.0447,1.2418,-0.097
-0.0794,1.3943,0.0122
-0.0794,1.3943,0.0122
-0.1249,1.3965,0.1068
-0.0582,1.1723,-0.0236
0.0678,1.0117,-0.1687
0.0362,0.9411,-0.2212
0.0362,0.9411,-0.2212
0.0392,0.9135,-0.247
0.1403,0.9157,-0.4499
0.0436,0.9851,-0.3174
0.0436,0.9851,-0.3174
-0.0552,1.0545,-0.1841
-0.0874,1.0095,-0.1247
-0.0874,0.9215,-0.1247
-0.0506,0.8432,-0.1245
0.012,0.8143,-0.1252
0.0392,0.7779,-0.1224
0.0693,0.7515,-0.0968
0.0971,0.7831,-0.0727
0.0959,0.8483,-0.0436
0.0961,0.8893,-0.0434
0.0973,0.9531,-0.0446
0.0348,0.9518,-0.0436
0.0338,0.9529,-0.0446
0.0338,0.9529,-0.0446
0.0057,0.9541,-0.0458
-0.0259,1.0127,-0.0458
-0.0262,1.0745,-0.046
0.004,1.1341,-0.045
0.0062,1.1346,-0.0709
0.0031,1.096,-0.0716
0.0036,1.0638,-0.0712
0.029,1.0627,0.0206
0.0581,1.1524,0.1039
0.1147,1.3117,0.1352
0.1147,1.3117,0.1352
0.0863,1.2718,0.1361
-0.0699,1.0859,-0.2625
-0.1924,0.9582,-0.3011
-0.1924,0.9582,-0.3011
-0.2334,0.8959,-0.3006
-0.1915,0.8453,-0.3003
-0.0508,0.9567,-0.2617
0.0106,1.0322,-0.2244
0.0847,1.1576,-0.1071
0.1133,1.129,-0.0756
0.0492,1.0007,-0.1105
-0.0073,0.8665,-0.1398
-0.0734,0.7479,-0.1398
-0.1263,0.6846,-0.0753
-0.1263,0.6846,-0.0753
-0.1515,0.6853,0.0352
-0.1505,0.7838,0.0919
-0.1528,0.934,0.0921
-0.1268,1.0969,-0.0133
-0.1268,1.0969,-0.0133
-0.1275,1.0952,-0.0411
-0.1258,1.0337,-0.0851
-0.0997,0.9574,-0.0558
-0.0464,0.8949,0.0909
-0.0464,0.8949,0.0909
-0.0471,1.03,0.0518
-0.117,1.1561,-0.0133
-0.1447,1.1817,-0.0133
-0.0506,1.1495,0.024
-0.0506,1.1495,0.024
-0.0242,1.2594,0.2021
-0.0564,1.2616,0.1999
-0.0834,1.2323,0.1559
-0.055,1.203,-0.0858
-0.0564,1.2045,-0.1694
-0.0284,1.1505,-0.3424
0.1389,0.9289,-0.5466
0.165,0.8358,-0.5449
0.0935,0.8346,-0.3028
-0.0171,0.893,-0.1511
-0.1107,0.9669,-0.0942
-0.1571,0.9985,-0.0942
-0.2143,1.0254,-0.0951
-0.1395,0.9618,-0.1731
